id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-08-08 05:31:12,"{""short_code"":""mNlRx5"",""original_url"":""https://seeded.app/proud/river/1""}"
2,2,59,created,2025-10-03 22:11:03,"{""short_code"":""jGb1CN"",""original_url"":""https://hackstack.io/lively/harvest/2""}"
3,3,93,created,2026-01-20 19:08:31,"{""short_code"":""Gw3oim"",""original_url"":""https://seeded.app/dawn/orbit/3""}"
4,4,104,created,2025-06-07 02:53:10,"{""short_code"":""yNjFio"",""original_url"":""https://relay.cloud/tidy/pioneer/4""}"
5,5,288,created,2025-07-09 13:14:13,"{""short_code"":""KnYpYd"",""original_url"":""https://example.com/amber/river/5""}"
6,6,313,created,2025-05-04 19:25:33,"{""short_code"":""9zc1DM"",""original_url"":""https://example.com/young/zenith/6""}"
7,7,162,created,2025-12-13 03:42:15,"{""short_code"":""qMFkfu"",""original_url"":""https://acme.dev/proud/trail/7""}"
8,8,287,created,2025-12-03 01:27:46,"{""short_code"":""8rlJor"",""original_url"":""https://acme.dev/dawn/garden/8""}"
9,9,43,created,2025-05-26 16:31:36,"{""short_code"":""00Xrmz"",""original_url"":""https://example.com/calm/journey/9""}"
10,10,94,created,2025-08-01 19:05:20,"{""short_code"":""jAq796"",""original_url"":""https://opswise.net/proud/harvest/10""}"
11,11,375,created,2025-06-20 12:07:24,"{""short_code"":""SH4JYK"",""original_url"":""https://seeded.app/opal/orbit/11""}"
12,12,103,created,2025-01-14 19:00:29,"{""short_code"":""Yqlkpg"",""original_url"":""https://acme.dev/forest/valley/12""}"
13,13,16,created,2025-09-16 21:36:34,"{""short_code"":""LXVJrv"",""original_url"":""https://acme.dev/dawn/orbit/13""}"
14,14,115,created,2025-12-18 08:57:53,"{""short_code"":""y9nA3L"",""original_url"":""https://seeded.app/ember/network/14""}"
15,15,169,created,2025-10-18 12:24:37,"{""short_code"":""P682xg"",""original_url"":""https://hackstack.io/silver/anchor/15""}"
16,16,25,created,2025-01-01 23:29:52,"{""short_code"":""blpdMU"",""original_url"":""https://relay.cloud/warm/trail/16""}"
17,17,273,created,2025-08-19 22:26:43,"{""short_code"":""PjB7J5"",""original_url"":""https://opswise.net/keen/beacon/17""}"
18,18,152,created,2026-01-31 01:35:55,"{""short_code"":""PC8ECD"",""original_url"":""https://relay.cloud/ivory/engine/18""}"
19,19,81,created,2025-12-07 16:25:35,"{""short_code"":""bgXtTQ"",""original_url"":""https://seeded.app/brisk/quartz/19""}"
20,20,133,created,2025-02-12 11:54:22,"{""short_code"":""wg83D6"",""original_url"":""https://seeded.app/brisk/river/20""}"
21,21,285,created,2025-08-13 15:11:58,"{""short_code"":""hHWcTf"",""original_url"":""https://seeded.app/harbor/river/21""}"
22,22,151,created,2025-10-02 17:38:53,"{""short_code"":""DXi4vG"",""original_url"":""https://relay.cloud/mellow/meadow/22""}"
23,23,78,created,2025-12-20 13:33:56,"{""short_code"":""gDghoZ"",""original_url"":""https://acme.dev/ivory/network/23""}"
24,24,82,created,2025-08-13 12:49:27,"{""short_code"":""tJdvVF"",""original_url"":""https://relay.cloud/harbor/quartz/24""}"
25,25,11,created,2025-02-19 09:28:48,"{""short_code"":""EUapJp"",""original_url"":""https://seeded.app/quiet/journey/25""}"
26,26,375,created,2025-12-29 10:04:02,"{""short_code"":""uEyD86"",""original_url"":""https://relay.cloud/lively/yard/26""}"
27,27,257,created,2025-08-01 19:30:42,"{""short_code"":""Iy94iP"",""original_url"":""https://acme.dev/ivory/window/27""}"
28,28,385,created,2025-06-05 19:48:56,"{""short_code"":""OT2vKp"",""original_url"":""https://hackstack.io/harbor/quartz/28""}"
29,29,335,created,2025-06-02 14:36:45,"{""short_code"":""nellHk"",""original_url"":""https://relay.cloud/brisk/meadow/29""}"
30,30,59,created,2025-05-26 22:23:20,"{""short_code"":""UFYdns"",""original_url"":""https://hackstack.io/ivory/engine/30""}"
31,31,38,created,2025-11-18 09:53:12,"{""short_code"":""kCi738"",""original_url"":""https://hackstack.io/gold/lagoon/31""}"
32,32,198,created,2025-04-01 13:05:09,"{""short_code"":""xC48Q4"",""original_url"":""https://opswise.net/clear/delta/32""}"
33,33,191,created,2025-02-08 14:50:26,"{""short_code"":""GiQBWD"",""original_url"":""https://relay.cloud/clear/trail/33""}"
34,34,68,created,2025-09-28 20:16:45,"{""short_code"":""TiL2Ti"",""original_url"":""https://example.com/quiet/orbit/34""}"
35,35,34,created,2025-08-24 01:57:51,"{""short_code"":""Kf7gjA"",""original_url"":""https://seeded.app/calm/engine/35""}"
36,36,244,created,2025-03-09 12:08:14,"{""short_code"":""dknxLs"",""original_url"":""https://example.com/gold/window/36""}"
37,37,324,created,2025-12-14 01:06:30,"{""short_code"":""u7V2Tf"",""original_url"":""https://hackstack.io/tidy/island/37""}"
38,38,400,created,2025-09-08 16:29:22,"{""short_code"":""lF58JG"",""original_url"":""https://acme.dev/vivid/canyon/38""}"
39,39,16,created,2025-10-03 04:05:41,"{""short_code"":""CdxweF"",""original_url"":""https://seeded.app/forest/lagoon/39""}"
